year,name,count,xprom,yprom,name2
1993,Rose-crested Blue Pipit,2,141.5,136.5,Rose-crested Blue Pipit
1998,Rose-crested Blue Pipit,1,125,116,Rose-crested Blue Pipit
2000,Rose-crested Blue Pipit,3,107,111,Rose-crested Blue Pipit
2005,Rose-crested Blue Pipit,1,128,120,Rose-crested Blue Pipit
2007,Rose-crested Blue Pipit,5,143.4,151.4,Rose-crested Blue Pipit
2009,Rose-crested Blue Pipit,2,141,125,Rose-crested Blue Pipit
2010,Rose-crested Blue Pipit,2,136,156.5,Rose-crested Blue Pipit
2011,Rose-crested Blue Pipit,3,112.3333333,132.3333333,Rose-crested Blue Pipit
2012,Rose-crested Blue Pipit,1,113,110,Rose-crested Blue Pipit
2013,Rose-crested Blue Pipit,7,125.4285714,144.7142857,Rose-crested Blue Pipit
2014,Rose-crested Blue Pipit,10,140.8,137.9,Rose-crested Blue Pipit
2015,Rose-crested Blue Pipit,19,119.3684211,113.3157895,Rose-crested Blue Pipit
2016,Rose-crested Blue Pipit,12,127.1666667,115.6666667,Rose-crested Blue Pipit
2017,Rose-crested Blue Pipit,5,126,114.6,Rose-crested Blue Pipit
2018,Rose-crested Blue Pipit,3,54,88,Rose-crested Blue Pipit
